,Day_num,wind_10m,specific_humidity,LW_down,SW_down,rainfall,snowfall,sosaline,sst,t2m,surface_pressure,sea_ice_extent
0,0.0,0.525,-0.25,-0.7,-1.0,-0.3,0.25,0.375,0.0,-0.9,-0.25,0.025
1,1.0,0.5,-0.275,-0.7,-1.0,-0.275,0.275,0.375,0.0,-0.875,-0.225,0.0
2,2.0,0.425,-0.225,-0.725,-1.0,-0.225,0.2,0.375,0.0,-0.875,-0.175,0.0
3,3.0,0.325,-0.275,-0.775,-1.0,-0.3,0.25,0.375,0.0,-0.9,-0.2,0.0
4,4.0,0.325,-0.25,-0.8,-1.0,-0.4,0.2,0.375,0.0,-0.875,-0.1,0.0
5,5.0,0.25,-0.2,-0.725,-1.0,-0.275,0.3,0.375,0.0,-0.9,-0.15,0.025
6,6.0,0.25,-0.275,-0.8,-1.0,-0.3,0.25,0.375,0.0,-0.925,-0.125,0.025
7,7.0,0.45,-0.2,-0.8,-1.0,-0.25,0.225,0.375,-0.025,-0.925,-0.2,0.025
8,8.0,0.5,-0.25,-0.8,-1.0,-0.25,0.225,0.375,-0.025,-0.95,-0.2,0.05
9,9.0,0.475,-0.25,-0.875,-1.0,-0.3,0.2,0.375,-0.025,-0.95,-0.175,0.05
10,10.0,0.5,-0.375,-0.875,-1.0,-0.4,0.175,0.375,-0.025,-0.925,-0.275,0.075
11,11.0,0.525,-0.35,-0.85,-1.0,-0.25,0.3,0.375,-0.025,-0.925,-0.075,0.125
12,12.0,0.625,-0.475,-0.825,-1.0,-0.175,0.275,0.375,-0.025,-0.925,-0.3,0.175
13,13.0,0.425,-0.35,-0.825,-1.0,-0.225,0.325,0.375,-0.025,-0.95,-0.275,0.225
14,14.0,0.525,-0.35,-0.775,-1.0,-0.15,0.225,0.375,0.0,-0.95,-0.175,0.3
15,15.0,0.5,-0.275,-0.75,-1.0,-0.25,0.225,0.375,0.0,-0.95,-0.3,0.3
16,16.0,0.475,-0.25,-0.825,-1.0,-0.2,0.225,0.375,0.0,-0.85,-0.225,0.35
17,17.0,0.35,-0.3,-0.8,-1.0,-0.275,0.25,0.375,0.0,-0.9,-0.225,0.35
18,18.0,0.475,-0.325,-0.8,-1.0,-0.375,0.275,0.375,0.0,-0.9,-0.125,0.4
19,19.0,0.475,-0.375,-0.825,-1.0,-0.325,0.325,0.375,-0.025,-0.9,0.0,0.425
20,20.0,0.675,-0.325,-0.875,-1.0,-0.225,0.275,0.375,-0.025,-0.9,0.0,0.425
21,21.0,0.625,-0.3,-0.8,-1.0,-0.15,0.3,0.375,-0.025,-0.95,0.025,0.4
22,22.0,0.45,-0.35,-0.8,-1.0,-0.325,0.225,0.375,-0.025,-0.925,-0.1,0.45
23,23.0,0.5,-0.425,-0.775,-1.0,-0.3,0.3,0.375,-0.025,-0.95,-0.075,0.5
24,24.0,0.475,-0.45,-0.8,-1.0,-0.375,0.35,0.375,-0.025,-0.925,-0.1,0.5
25,25.0,0.5,-0.425,-0.775,-1.0,-0.25,0.4,0.375,-0.025,-0.975,-0.125,0.525
26,26.0,0.5,-0.525,-0.85,-1.0,-0.45,0.175,0.375,-0.025,-0.925,-0.125,0.55
27,27.0,0.375,-0.475,-0.85,-0.975,-0.475,0.2,0.375,-0.025,-0.875,-0.125,0.55
28,28.0,0.45,-0.55,-0.825,-0.825,-0.325,0.3,0.375,-0.025,-0.875,-0.075,0.6
29,29.0,0.45,-0.475,-0.85,-0.6,-0.325,0.275,0.375,-0.025,-0.9,-0.15,0.6
30,30.0,0.475,-0.45,-0.85,-0.2,-0.4,0.25,0.375,-0.025,-0.9,0.025,0.6
31,31.0,0.3,-0.4,-0.85,-0.05,-0.275,0.325,0.7,-0.025,-0.875,-0.075,0.625
32,32.0,0.45,-0.425,-0.825,0.0,-0.25,0.325,0.7,-0.025,-0.925,-0.05,0.625
33,33.0,0.5,-0.425,-0.875,0.0,-0.3,0.25,0.7,-0.025,-0.925,-0.225,0.625
34,34.0,0.4,-0.45,-0.875,0.0,-0.3,0.275,0.7,-0.025,-0.9,-0.15,0.65
35,35.0,0.5,-0.425,-0.825,0.0,-0.375,0.325,0.7,-0.05,-0.925,-0.2,0.65
36,36.0,0.5,-0.4,-0.8,0.0,-0.425,0.35,0.7,-0.075,-0.95,0.1,0.65
37,37.0,0.6,-0.4,-0.85,0.0,-0.45,0.175,0.7,-0.1,-0.875,0.05,0.675
38,38.0,0.425,-0.325,-0.775,0.0,-0.375,0.275,0.7,-0.1,-0.875,0.05,0.675
39,39.0,0.425,-0.325,-0.775,0.0,-0.45,0.1,0.7,-0.1,-0.825,0.025,0.7
40,40.0,0.35,-0.325,-0.75,0.0,-0.475,0.175,0.7,-0.075,-0.85,-0.05,0.7
41,41.0,0.3,-0.275,-0.675,0.0,-0.35,0.15,0.7,-0.075,-0.875,0.05,0.7
42,42.0,0.2,-0.325,-0.725,0.0,-0.425,0.125,0.7,-0.075,-0.875,0.075,0.725
43,43.0,0.3,-0.3,-0.75,0.0,-0.375,0.225,0.7,-0.1,-0.85,-0.025,0.725
44,44.0,0.2,-0.25,-0.775,0.0,-0.375,0.2,0.7,-0.125,-0.85,0.175,0.725
45,45.0,0.25,-0.2,-0.725,0.0,-0.35,0.275,0.7,-0.125,-0.875,0.175,0.75
46,46.0,0.3,-0.275,-0.75,0.0,-0.325,0.15,0.7,-0.125,-0.85,0.175,0.75
47,47.0,0.25,-0.35,-0.775,0.0,-0.425,0.1,0.7,-0.125,-0.825,0.075,0.75
48,48.0,0.175,-0.3,-0.775,0.0,-0.375,0.15,0.7,-0.1,-0.825,0.1,0.775
49,49.0,0.275,-0.325,-0.8,0.0,-0.3,0.25,0.7,-0.1,-0.875,0.025,0.75
50,50.0,0.325,-0.4,-0.85,0.0,-0.475,0.05,0.7,-0.1,-0.875,-0.1,0.8
51,51.0,0.225,-0.475,-0.825,0.0,-0.45,0.125,0.7,-0.125,-0.9,-0.05,0.775
52,52.0,0.2,-0.475,-0.875,0.0,-0.425,0.15,0.7,-0.15,-0.875,0.0,0.775
53,53.0,0.375,-0.4,-0.925,0.0,-0.275,0.25,0.7,-0.15,-0.9,0.1,0.8
54,54.0,0.55,-0.375,-0.875,0.0,-0.25,0.15,0.7,-0.175,-0.875,0.175,0.8
55,55.0,0.5,-0.3,-0.825,0.0,-0.3,0.3,0.7,-0.15,-0.85,0.125,0.8
56,56.0,0.425,-0.275,-0.85,0.0,-0.275,0.15,0.7,-0.15,-0.825,0.25,0.8
57,57.0,0.25,-0.275,-0.825,0.0,-0.4,0.3,0.7,-0.125,-0.825,0.2,0.8
58,58.0,0.375,-0.275,-0.825,0.0,-0.325,0.25,0.7,-0.15,-0.825,0.275,0.8
59,59.0,0.45,-0.275,-0.725,0.0,-0.475,0.225,0.775,-0.2,-0.8,0.175,0.8
60,60.0,0.3,-0.3,-0.75,0.0,-0.45,0.15,0.8,-0.2,-0.725,0.175,0.8
61,61.0,0.225,-0.325,-0.75,0.0,-0.45,0.15,0.8,-0.25,-0.75,0.1,0.825
62,62.0,0.25,-0.275,-0.8,0.0,-0.45,0.175,0.8,-0.25,-0.75,0.15,0.85
63,63.0,0.25,-0.225,-0.775,0.0,-0.375,0.175,0.8,-0.25,-0.775,0.25,0.825
64,64.0,0.275,-0.15,-0.675,0.0,-0.4,0.175,0.8,-0.25,-0.725,0.225,0.825
65,65.0,0.225,-0.175,-0.675,0.0,-0.425,0.125,0.8,-0.25,-0.675,0.125,0.85
66,66.0,0.35,-0.1,-0.725,0.0,-0.325,0.05,0.8,-0.25,-0.625,0.05,0.8
67,67.0,0.35,-0.125,-0.675,0.0,-0.325,0.1,0.8,-0.275,-0.6,0.05,0.825
68,68.0,0.3,-0.175,-0.725,0.0,-0.375,0.125,0.8,-0.275,-0.575,0.0,0.85
69,69.0,0.4,-0.125,-0.675,0.0,-0.375,0.2,0.8,-0.275,-0.5,0.1,0.875
70,70.0,0.325,0.0,-0.65,0.0,-0.425,0.025,0.8,-0.275,-0.425,-0.025,0.85
71,71.0,0.3,-0.025,-0.65,0.0,-0.425,0.1,0.8,-0.275,-0.475,0.025,0.825
72,72.0,0.25,-0.05,-0.625,0.0,-0.475,0.15,0.8,-0.275,-0.45,0.275,0.825
73,73.0,0.25,-0.125,-0.55,0.0,-0.6,0.075,0.8,-0.3,-0.425,0.125,0.825
74,74.0,0.175,-0.1,-0.525,0.0,-0.475,0.075,0.8,-0.35,-0.375,0.275,0.825
75,75.0,0.25,-0.1,-0.55,0.0,-0.55,0.025,0.8,-0.325,-0.35,0.275,0.825
76,76.0,0.125,-0.075,-0.55,0.0,-0.675,0.05,0.8,-0.3,-0.325,0.45,0.8
77,77.0,0.1,-0.075,-0.475,0.0,-0.525,0.05,0.8,-0.275,-0.225,0.525,0.8
78,78.0,0.125,-0.1,-0.4,0.0,-0.375,0.05,0.8,-0.3,-0.15,0.55,0.8
79,79.0,0.1,-0.05,-0.325,0.0,-0.45,0.1,0.8,-0.275,-0.175,0.4,0.8
80,80.0,0.1,-0.05,-0.3,0.0,-0.4,0.075,0.8,-0.275,-0.175,0.4,0.8
81,81.0,0.025,-0.025,-0.25,0.0,-0.6,0.125,0.8,-0.3,-0.1,0.325,0.8
82,82.0,0.15,-0.025,-0.25,0.0,-0.575,0.15,0.8,-0.35,-0.05,0.425,0.8
83,83.0,0.175,-0.025,-0.25,0.0,-0.6,0.125,0.8,-0.35,-0.025,0.4,0.8
84,84.0,0.1,-0.025,-0.25,0.0,-0.65,0.025,0.8,-0.325,-0.025,0.2,0.8
85,85.0,0.075,0.0,-0.275,0.0,-0.575,0.05,0.8,-0.35,-0.05,0.175,0.775
86,86.0,0.1,0.0,-0.275,0.0,-0.55,0.125,0.8,-0.375,0.0,0.025,0.775
87,87.0,0.025,0.0,-0.225,0.0,-0.575,0.05,0.8,-0.35,0.0,0.0,0.775
88,88.0,0.0,0.0,-0.15,0.0,-0.575,0.025,0.8,-0.35,0.0,0.0,0.775
89,89.0,0.0,0.0,-0.15,0.0,-0.55,0.075,0.8,-0.35,-0.025,0.175,0.775
90,90.0,0.05,0.0,-0.15,0.0,-0.625,0.025,0.575,-0.325,0.0,0.225,0.775
91,91.0,-0.075,0.0,-0.15,0.0,-0.5,0.15,0.425,-0.25,0.0,0.35,0.775
92,92.0,-0.075,0.0,-0.1,0.0,-0.525,0.125,0.425,-0.175,0.0,0.375,0.775
93,93.0,0.05,0.0,-0.05,0.0,-0.65,0.075,0.425,-0.225,0.0,0.375,0.675
94,94.0,0.0,0.0,-0.05,0.0,-0.6,0.075,0.425,-0.225,0.0,0.35,0.675
95,95.0,0.025,0.0,-0.075,0.0,-0.55,0.1,0.425,-0.225,0.0,0.425,0.675
