,x,y,r_sq,ABC
1,wind_10m,specific_humidity,-0.889032421,-2.497440374
2,wind_10m,LW_down,-0.890340542,-2.668618131
3,wind_10m,SW_down,-0.902891943,-2.610228795
4,wind_10m,rainfall,-0.513970228,-2.069783593
5,wind_10m,snowfall,0.931634243,-0.544521471
6,wind_10m,sosaline,0.538018058,-0.798259973
7,wind_10m,sst,-0.58263977,-2.294375147
8,wind_10m,t2m,-0.905896244,-2.744803475
9,wind_10m,surface_pressure,-0.290194091,-2.342552115
10,wind_10m,sea_ice_extent,0.379765423,-0.879862326
13,specific_humidity,LW_down,0.976583482,-0.171177757
14,specific_humidity,SW_down,0.662959807,-0.112788421
15,specific_humidity,rainfall,0.828364881,0.427656781
16,specific_humidity,snowfall,-0.909704093,1.952918903
17,specific_humidity,sosaline,-0.820633675,1.699180401
18,specific_humidity,sst,0.86478742,0.203065227
19,specific_humidity,t2m,0.958039451,-0.247363101
20,specific_humidity,surface_pressure,-0.107538546,0.154888259
21,specific_humidity,sea_ice_extent,-0.700296315,1.617578048
25,LW_down,SW_down,0.705079903,0.058389336
26,LW_down,rainfall,0.82196701,0.598834537
27,LW_down,snowfall,-0.846920218,2.124096659
28,LW_down,sosaline,-0.838306082,1.870358158
29,LW_down,sst,0.847871118,0.374242984
30,LW_down,t2m,0.995173574,-0.076185344
31,LW_down,surface_pressure,-0.03595055,0.326066015
32,LW_down,sea_ice_extent,-0.738877281,1.788755805
37,SW_down,rainfall,0.187168033,0.540445201
38,SW_down,snowfall,-0.781814616,2.065707323
39,SW_down,sosaline,-0.228023898,1.811968822
40,SW_down,sst,0.24598617,0.315853648
41,SW_down,t2m,0.75203607,-0.13457468
42,SW_down,surface_pressure,0.566608395,0.267676679
43,SW_down,sea_ice_extent,-0.072160866,1.730366469
49,rainfall,snowfall,-0.555812304,1.525262122
50,rainfall,sosaline,-0.973410787,1.27152362
51,rainfall,sst,0.971839861,-0.224591554
52,rainfall,t2m,0.776931525,-0.675019881
53,rainfall,surface_pressure,-0.523839337,-0.272768522
54,rainfall,sea_ice_extent,-0.95367695,1.189921268
61,snowfall,sosaline,0.538447429,-0.253738502
62,snowfall,sst,-0.644449793,-1.749853676
63,snowfall,t2m,-0.839794591,-2.200282003
64,snowfall,surface_pressure,-0.130761831,-1.798030644
65,snowfall,sea_ice_extent,0.37190037,-0.335340854
73,sosaline,sst,-0.960529915,-1.496115174
74,sosaline,t2m,-0.802498354,-1.946543502
75,sosaline,surface_pressure,0.442862601,-1.544292142
76,sosaline,sea_ice_extent,0.96686985,-0.081602352
85,sst,t2m,0.807117622,-0.450428328
86,sst,surface_pressure,-0.415464481,-0.048176968
87,sst,sea_ice_extent,-0.930394423,1.414512822
97,t2m,surface_pressure,0.039461951,0.402251359
98,t2m,sea_ice_extent,-0.702939718,1.864941149
109,surface_pressure,sea_ice_extent,0.513952286,1.46268979
