,x,y,r_sq
0,Year,Year,1.0
1,Year,wind_10m,0.292206095437
2,Year,specific_humidity,0.814900552224
3,Year,LW_down,0.842485969181
4,Year,SW_down,-0.258690778986
5,Year,rainfall,0.562084521135
6,Year,snowfall,-0.332733937647
7,Year,sosaline,-0.0592489525646
8,Year,sst,0.939413269872
9,Year,t2m,0.86467157637
10,Year,surface_pressure,-0.0102317451485
11,Year,sea_ice_extent,-0.948189636024
12,wind_10m,Year,0.292206095437
13,wind_10m,wind_10m,1.0
14,wind_10m,specific_humidity,0.351509740959
15,wind_10m,LW_down,0.37162112848
16,wind_10m,SW_down,-0.163940637747
17,wind_10m,rainfall,0.66123103877
18,wind_10m,snowfall,0.552868892097
19,wind_10m,sosaline,0.0200005274971
20,wind_10m,sst,0.210601737453
21,wind_10m,t2m,0.391958831632
22,wind_10m,surface_pressure,-0.601577032865
23,wind_10m,sea_ice_extent,-0.306944361094
24,specific_humidity,Year,0.814900552224
25,specific_humidity,wind_10m,0.351509740959
26,specific_humidity,specific_humidity,1.0
27,specific_humidity,LW_down,0.965366917313
28,specific_humidity,SW_down,-0.447234950336
29,specific_humidity,rainfall,0.675925243991
30,specific_humidity,snowfall,-0.373756889781
31,specific_humidity,sosaline,-0.0794855333203
32,specific_humidity,sst,0.889259176294
33,specific_humidity,t2m,0.952718636384
34,specific_humidity,surface_pressure,-0.0519407792818
35,specific_humidity,sea_ice_extent,-0.916678560607
36,LW_down,Year,0.842485969181
37,LW_down,wind_10m,0.37162112848
38,LW_down,specific_humidity,0.965366917313
39,LW_down,LW_down,1.0
40,LW_down,SW_down,-0.476815350601
41,LW_down,rainfall,0.676751919635
42,LW_down,snowfall,-0.31755750219
43,LW_down,sosaline,-0.100894149408
44,LW_down,sst,0.899727534164
45,LW_down,t2m,0.992244482962
46,LW_down,surface_pressure,0.0425513190776
47,LW_down,sea_ice_extent,-0.937555587888
48,SW_down,Year,-0.258690778986
49,SW_down,wind_10m,-0.163940637747
50,SW_down,specific_humidity,-0.447234950336
51,SW_down,LW_down,-0.476815350601
52,SW_down,SW_down,1.0
53,SW_down,rainfall,-0.453674625016
54,SW_down,snowfall,0.135603519703
55,SW_down,sosaline,0.274543369283
56,SW_down,sst,-0.286677664601
57,SW_down,t2m,-0.418003380425
58,SW_down,surface_pressure,0.0282100608476
59,SW_down,sea_ice_extent,0.409710529
60,rainfall,Year,0.562084521135
61,rainfall,wind_10m,0.66123103877
62,rainfall,specific_humidity,0.675925243991
63,rainfall,LW_down,0.676751919635
64,rainfall,SW_down,-0.453674625016
65,rainfall,rainfall,1.0
66,rainfall,snowfall,0.33236767975
67,rainfall,sosaline,-0.00431123713084
68,rainfall,sst,0.53739377949
69,rainfall,t2m,0.659365725785
70,rainfall,surface_pressure,-0.576088577036
71,rainfall,sea_ice_extent,-0.627725101157
72,snowfall,Year,-0.332733937647
73,snowfall,wind_10m,0.552868892097
74,snowfall,specific_humidity,-0.373756889781
75,snowfall,LW_down,-0.31755750219
76,snowfall,SW_down,0.135603519703
77,snowfall,rainfall,0.33236767975
78,snowfall,snowfall,1.0
79,snowfall,sosaline,0.162713769783
80,snowfall,sst,-0.429731640799
81,snowfall,t2m,-0.305440344496
82,snowfall,surface_pressure,-0.623154969677
83,snowfall,sea_ice_extent,0.386274138814
84,sosaline,Year,-0.0592489525646
85,sosaline,wind_10m,0.0200005274971
86,sosaline,specific_humidity,-0.0794855333203
87,sosaline,LW_down,-0.100894149408
88,sosaline,SW_down,0.274543369283
89,sosaline,rainfall,-0.00431123713084
90,sosaline,snowfall,0.162713769783
91,sosaline,sosaline,1.0
92,sosaline,sst,-0.0516556555524
93,sosaline,t2m,-0.0982724462093
94,sosaline,surface_pressure,-0.100383100708
95,sosaline,sea_ice_extent,0.0937392559567
96,sst,Year,0.939413269872
97,sst,wind_10m,0.210601737453
98,sst,specific_humidity,0.889259176294
99,sst,LW_down,0.899727534164
100,sst,SW_down,-0.286677664601
101,sst,rainfall,0.53739377949
102,sst,snowfall,-0.429731640799
103,sst,sosaline,-0.0516556555524
104,sst,sst,1.0
105,sst,t2m,0.909068295259
106,sst,surface_pressure,0.0907975602494
107,sst,sea_ice_extent,-0.959213656646
108,t2m,Year,0.86467157637
109,t2m,wind_10m,0.391958831632
110,t2m,specific_humidity,0.952718636384
111,t2m,LW_down,0.992244482962
112,t2m,SW_down,-0.418003380425
113,t2m,rainfall,0.659365725785
114,t2m,snowfall,-0.305440344496
115,t2m,sosaline,-0.0982724462093
116,t2m,sst,0.909068295259
117,t2m,t2m,1.0
118,t2m,surface_pressure,0.0372478137941
119,t2m,sea_ice_extent,-0.942898970171
120,surface_pressure,Year,-0.0102317451485
121,surface_pressure,wind_10m,-0.601577032865
122,surface_pressure,specific_humidity,-0.0519407792818
123,surface_pressure,LW_down,0.0425513190776
124,surface_pressure,SW_down,0.0282100608476
125,surface_pressure,rainfall,-0.576088577036
126,surface_pressure,snowfall,-0.623154969677
127,surface_pressure,sosaline,-0.100383100708
128,surface_pressure,sst,0.0907975602494
129,surface_pressure,t2m,0.0372478137941
130,surface_pressure,surface_pressure,1.0
131,surface_pressure,sea_ice_extent,-0.0172160973487
132,sea_ice_extent,Year,-0.948189636024
133,sea_ice_extent,wind_10m,-0.306944361094
134,sea_ice_extent,specific_humidity,-0.916678560607
135,sea_ice_extent,LW_down,-0.937555587888
136,sea_ice_extent,SW_down,0.409710529
137,sea_ice_extent,rainfall,-0.627725101157
138,sea_ice_extent,snowfall,0.386274138814
139,sea_ice_extent,sosaline,0.0937392559567
140,sea_ice_extent,sst,-0.959213656646
141,sea_ice_extent,t2m,-0.942898970171
142,sea_ice_extent,surface_pressure,-0.0172160973487
143,sea_ice_extent,sea_ice_extent,1.0
