,count,mean,std,min,25%,50%,75%,max
Year,40.0,1998.5,11.6904519445,1979.0,1988.75,1998.5,2008.25,2018.0
wind_10m,40.0,6.07014438714e-15,1.0,-2.29944718843,-0.577136464943,0.155130601291,0.563620457607,1.88029212663
specific_humidity,40.0,2.03170813506e-15,1.0,-1.89452651753,-0.886716707834,-0.101069113479,0.906395393838,2.52263714669
LW_down,40.0,1.18183240971e-14,1.0,-1.52603126349,-0.795345768517,-0.265065850572,0.906004616743,2.35317827299
SW_down,40.0,-4.56301663121e-15,1.0,-2.10063313335,-0.563629092615,-0.186049032279,0.9498071304,1.68361430019
rainfall,40.0,-1.37112543541e-15,1.0,-2.21045340893,-0.575562737144,-0.204988715414,0.683224507023,2.38678821951
snowfall,40.0,3.36397576461e-15,1.0,-1.81720077267,-0.695388774169,-0.120533806461,0.61565358064,2.58471915663
sosaline,40.0,-5.27355936697e-14,1.0,-1.7616289892,-0.656299921626,-0.0987785533913,0.390248084988,4.71837802985
sst,40.0,-4.37427871702e-15,1.0,-1.48621790086,-0.88762996677,-0.32181676281,0.895835457798,1.90336578461
t2m,40.0,-2.36033415035e-14,1.0,-1.62724173989,-0.787583712428,-0.243104029682,0.79344215512,2.3754146359
surface_pressure,40.0,2.63122856836e-15,1.0,-2.15356697853,-0.628243970175,-0.0152471604792,0.712128423694,2.04335940538
sea_ice_extent,40.0,-2.88657986403e-16,1.0,-1.89218516163,-0.844107731821,0.287525412859,0.793204870089,1.49011465335
